k1 k2 k3
6.383713745593930233e-02 -7.847213166972150100e-03 3.062705898031217733e-03
6.407222129219389273e-02 -9.080704972988087875e-03 3.474297439620910311e-03
6.359886124514008143e-02 -9.477061765667232907e-03 3.510324775228307326e-03
6.458894445225113468e-02 -7.588807964918231619e-03 2.630902262365661382e-03
6.336717889527995751e-02 -1.031407117760381464e-02 2.609207131659976864e-03
6.219043311435154542e-02 -1.020393352412504728e-02 4.393175030358964506e-03
6.470672532469809446e-02 -8.535800278111307926e-03 3.892353145015486904e-03
6.361091721147044131e-02 -8.405596567014089748e-03 1.900361909443787356e-03
6.319580841497404733e-02 -8.697229167176301345e-03 2.687841870968071811e-03
6.377954367020652326e-02 -1.007142245334501085e-02 2.961273851147486202e-03
6.363222040212968000e-02 -8.375328026129655323e-03 3.868982645883312088e-03
6.149083951452144481e-02 -1.086165837030382553e-02 2.421946366703148223e-03
6.440123521140259100e-02 -8.650878922273466665e-03 3.720649471058698476e-03
6.296284006206079309e-02 -1.044826649662969342e-02 1.698899180043914048e-03
6.383860225822793333e-02 -8.848944670902150755e-03 4.178574742145557686e-03
6.284859475731360834e-02 -9.508212905346993815e-03 2.715221934783129676e-03
6.373911475930946202e-02 -9.998849503352086332e-03 3.071609592726898263e-03
6.363722020278120284e-02 -8.762966888862619430e-03 3.828325850291733334e-03
6.216957110982543333e-02 -1.069764847339152447e-02 2.145117507139596147e-03
6.432489415353145890e-02 -1.078585542909014927e-02 7.512564442480329507e-04
6.399034220070076717e-02 -9.072428939595394981e-03 2.958746624061286967e-03
6.466025053269078282e-02 -9.638952227274871776e-03 1.616517484555532458e-03
6.500977496647433740e-02 -9.479459160742303991e-03 4.086404072273036592e-03
6.392953334907178209e-02 -9.903067263834136602e-03 3.508878444995852663e-03
6.458031365905583798e-02 -1.043266991520855336e-02 1.882259124931534577e-03
6.313286488921379669e-02 -9.722348925643317652e-03 1.590331426224417255e-03
6.273851255422102646e-02 -8.676310216516658347e-03 3.070748064451067627e-03
6.381986490068899953e-02 -9.965446748131920329e-03 2.893901049511038437e-03
6.453600062443812235e-02 -9.541526532187205589e-03 2.803198573595150345e-03
6.382034201351477476e-02 -9.033146289551707842e-03 2.457546626360482267e-03
6.311889753363508770e-02 -1.048000394604385599e-02 3.279040596933846530e-03
6.479208362600513693e-02 -8.456986249124762156e-03 2.866104351622641988e-03
6.258584466143560232e-02 -1.034574540788314734e-02 3.138701394594822780e-03
6.348626939857709983e-02 -9.431110273031437230e-03 3.775926786285244141e-03
