k1 k2 k3
6.271768942429220561e-02 -8.700061420686661107e-03 9.542414450843111906e-04
6.289301347825226873e-02 -9.365365872425340799e-03 3.828309671999041708e-04
6.294273917167877985e-02 -9.073150110256972267e-03 2.776842405315990692e-03
6.375583773254994702e-02 -1.056905050163955972e-02 -1.723516287211457332e-04
6.354277455538445696e-02 -7.597487795357973916e-03 1.794696409356005828e-03
6.242025368042966593e-02 -8.391589304970220597e-03 2.489017676184451799e-03
6.401683865955329344e-02 -9.497938971393643515e-03 1.200904880533121277e-03
6.355225770901917759e-02 -8.231692454332972808e-03 3.008369068416422154e-03
6.404048473517334750e-02 -8.708527660449300045e-03 1.142975457126521599e-03
6.447994161659847956e-02 -7.703335316297049706e-03 3.369833929488530444e-04
6.371575947569502185e-02 -9.405135687279103651e-03 1.481724422204469538e-03
6.474716760939833171e-02 -7.295183754451692315e-03 1.889512657982345134e-03
6.373394303341090028e-02 -7.941626288435948977e-03 3.744435727833603234e-03
6.357853249843231636e-02 -7.948173230990090987e-03 3.144243812457078735e-03
6.349213673725437324e-02 -6.536345599970447284e-03 1.338545364951967964e-03
6.384309987431865951e-02 -7.907940873723609543e-03 3.257504093689564395e-03
6.179512206336848501e-02 -9.717501355319138612e-03 1.936325066982602650e-03
6.253440587863728917e-02 -9.767806948172863546e-03 2.367710058797392603e-03
6.300238623994827702e-02 -8.237084271353750653e-03 1.836442129100307463e-03
6.396164480913918426e-02 -8.384814983569494062e-03 1.986131530821388935e-03
6.347938480640444303e-02 -7.564676877576920200e-03 3.006291265302135640e-04
6.392167676493462625e-02 -9.163692700461981144e-03 1.791433327291258593e-03
6.297985591648877501e-02 -8.937645442393032935e-03 1.164823970494069383e-03
6.515944375216670137e-02 -7.924380981995354789e-03 2.981131401937481273e-04
6.204169759234798298e-02 -7.921969377349818986e-03 1.286574375005372639e-03
6.374830054220828601e-02 -8.098448257769591541e-03 8.164790548649686341e-04
6.373915931672663460e-02 -9.511994123452563454e-03 1.958189085931788531e-03
6.347762331344547482e-02 -8.468631488291161746e-03 2.650669078053960459e-03
6.474129512064513703e-02 -8.601504761066830484e-03 2.388826094793183863e-03
6.393748883861452570e-02 -7.637811959940066231e-03 2.776935485165957229e-03
6.281723790950533015e-02 -6.204473487321768288e-03 2.031385799127288783e-03
6.402796137489719097e-02 -6.501043731168235085e-03 2.250421158082133166e-03
6.163934681943444849e-02 -8.733825682304047211e-03 -1.075442307021945432e-05
6.377198195699160244e-02 -8.414335969704062057e-03 2.154101076102185597e-03
6.392167676493462625e-02 -9.163692700461981144e-03 1.791433327291258593e-03
6.545138288982171870e-02 -7.157031310276312785e-03 6.701281984552442950e-04
6.424776186593941785e-02 -7.991290913855336742e-03 1.618926640177639764e-03
6.466124188463603928e-02 -7.158206195115840442e-03 1.952194365059153891e-03
6.363522990290879089e-02 -7.755324724782103329e-03 3.514099579789792260e-03
6.366956197566420173e-02 -1.010948815870246764e-02 2.039485808942614886e-03
6.363578238128705933e-02 -9.212764378668109044e-03 1.995145677384652094e-03
6.401040660787377101e-02 -7.774951119419795664e-03 2.609389328429759236e-03
