k1 k2 k3
8.036638766940093492e-02 -1.792963383253479148e-02 6.679789781541933813e-03
7.916446447552222265e-02 -1.954609630863668457e-02 5.657261101302310524e-03
7.909120750458561999e-02 -1.719497840750687512e-02 7.478843991681860537e-03
7.943104170029505195e-02 -1.916090451052118726e-02 7.856522397556214843e-03
8.082231919495583283e-02 -1.906991263136822989e-02 7.688887832400154165e-03
7.953709812696496684e-02 -1.804802981445827181e-02 6.462845557568527854e-03
7.827794993113088018e-02 -1.755650036830057326e-02 6.456904391741666305e-03
7.903796527740833411e-02 -2.058304709300412538e-02 8.285944791537519505e-03
8.010585814339118982e-02 -1.842927873672814409e-02 6.511602085706974519e-03
7.886657454892606611e-02 -2.065958504951895258e-02 6.859035574686964121e-03
7.941651961474402444e-02 -1.837048438137069140e-02 7.527623793244855865e-03
7.891779745853808037e-02 -2.038382260923984890e-02 6.988380977924119053e-03
8.036638766940093492e-02 -1.792963383253479148e-02 6.679789781541933813e-03
7.929861308198166148e-02 -1.794573554224511425e-02 6.428449527107998884e-03
8.066945427105792765e-02 -1.753330671628919313e-02 7.694415706595097992e-03
8.004656935246926008e-02 -1.952308863103266456e-02 6.638639136043497646e-03
7.886657454892606611e-02 -2.065958504951895258e-02 6.859035574686964121e-03
8.135538165057557003e-02 -1.907533081781095929e-02 5.885708080213492011e-03
8.038403136238028712e-02 -1.854257506243947584e-02 7.334538270403603843e-03
8.085609985540129219e-02 -1.858680467387160973e-02 6.713936015954088954e-03
8.068535813828570102e-02 -2.015767727794812170e-02 7.331217024851663377e-03
7.966289823749261867e-02 -2.020310983207876387e-02 5.994442132208857577e-03
7.886568321753653632e-02 -1.807456972093948733e-02 7.646644421432882699e-03
7.900302229961453371e-02 -2.035153868997072180e-02 6.115345036117297850e-03
7.814921207292357952e-02 -1.993123075134585476e-02 6.912113745227488337e-03
7.954260864743767367e-02 -1.941467018176860904e-02 6.996160215732863397e-03
7.905693790515885833e-02 -1.927219932001890401e-02 7.611275652802465541e-03
8.000268434106364013e-02 -1.835830990008703589e-02 8.262095212170111891e-03
7.996966233556732084e-02 -1.990961948444225360e-02 6.198804801478788318e-03
7.833544117939458817e-02 -2.093752932822585955e-02 7.462136824084336650e-03
7.924492292498436230e-02 -1.893729698472076950e-02 7.300493795451390433e-03
7.981694640046230194e-02 -1.819740632187198670e-02 7.395625392617219407e-03
7.998886049092446271e-02 -1.930726403030533223e-02 7.515131164900185068e-03
8.123207096961884699e-02 -1.828271211793919271e-02 5.678914833329967715e-03
7.966313946476366592e-02 -1.876257897962677057e-02 6.173859896779210210e-03
7.929674942823194961e-02 -1.847307318514694596e-02 8.400321314573647169e-03
7.928119400907271408e-02 -1.908991286770135576e-02 8.072495944922014610e-03
7.958728354058303145e-02 -1.825690795620941997e-02 5.951742343442117944e-03
7.934342101911784351e-02 -1.716676887707904720e-02 7.207346141946444074e-03
7.851618630971066159e-02 -1.975334381668844563e-02 6.938086277271993119e-03
7.929860760630250138e-02 -1.985649351741433644e-02 6.009642185543603854e-03
8.021316739005904251e-02 -1.629534556165671000e-02 7.579154689446213067e-03
7.949628171546718747e-02 -2.014556425279011298e-02 5.806618141874192451e-03
7.920166881837184536e-02 -1.813749396031104355e-02 6.541940912293917054e-03
8.016386061429908727e-02 -1.986812717919611559e-02 4.815228165186341558e-03
8.043484021351890445e-02 -1.893689411594082217e-02 6.756764096213285775e-03
8.092523083145350404e-02 -1.943500490529354030e-02 8.675291704869886322e-03
8.132646019520622938e-02 -1.870187319018185024e-02 4.810868894032149790e-03
7.910316051115803826e-02 -1.862033141684719950e-02 6.895057261803866355e-03
7.912242103463754117e-02 -2.087535605900342484e-02 5.235961624828727734e-03
7.965446027250142058e-02 -2.023311866581486984e-02 5.192247516360978810e-03
7.936743895102038593e-02 -2.058364459628778120e-02 5.343431255253411338e-03
7.968277283554980883e-02 -1.998832197451599901e-02 6.705166365196912892e-03
8.040755440015595612e-02 -1.839170594413344628e-02 6.452772300737680267e-03
7.952209688717834513e-02 -1.853807413870754706e-02 7.150552959687514476e-03
8.020190948827429778e-02 -1.840766291788423215e-02 7.395001751830651560e-03
7.918508603291485315e-02 -1.846540417698164238e-02 7.113928199339647485e-03
7.842872213648013902e-02 -1.860427590219253247e-02 7.267296812509177473e-03
7.978007349757029742e-02 -2.050343635853688062e-02 6.172034056705716365e-03
8.107553427035926741e-02 -1.701511325982803247e-02 7.635256520309857686e-03
7.950453950418703841e-02 -1.804381055825327040e-02 7.753840962358621303e-03
8.023467110762649845e-02 -1.915314967606013274e-02 5.444964349806041826e-03
7.993925525891909523e-02 -1.809402032527165916e-02 6.596043784280469779e-03
7.939937248784256774e-02 -1.886017229794974270e-02 6.976417800345219300e-03
7.987218862608810865e-02 -1.911013624585491955e-02 6.012421067117718065e-03
8.029877706594029663e-02 -1.855920641548186589e-02 6.675089697512598397e-03
7.954103352160896145e-02 -2.020507763741843932e-02 5.231079983692141222e-03
8.042341561953506024e-02 -1.812369145340415877e-02 8.261615912655548288e-03
7.953333799369297075e-02 -1.882868323718459025e-02 7.655953849119573329e-03
8.016363736010620467e-02 -1.789837964437419882e-02 5.907067346881358927e-03
7.969176564558994036e-02 -1.962060676615072496e-02 6.224478468525057595e-03
7.970554158314815951e-02 -1.931150881309733058e-02 7.680977367672550682e-03
7.781416438618996012e-02 -2.111309633734451130e-02 8.650366336222806152e-03
8.061414339923542172e-02 -1.792173715178729809e-02 7.111650173836150945e-03
8.051456965287276391e-02 -1.973194750733142655e-02 6.914669826281708009e-03
8.078811278636580107e-02 -1.750172329237763280e-02 8.562565950568840067e-03
7.928451252224696932e-02 -2.001817567793492958e-02 6.911899888194780739e-03
7.927005216115581843e-02 -1.946827602833331450e-02 6.559938017540331567e-03
8.017106101108573135e-02 -1.870167718972037818e-02 6.552668429849251019e-03
7.940796735574554011e-02 -1.900461723127642999e-02 7.042766001146311128e-03
8.023359236050042753e-02 -2.043298593386475015e-02 7.422025461939790736e-03
7.882132788697943093e-02 -1.891328528657912345e-02 7.720802881635832615e-03
7.941858080859498514e-02 -1.870737394176555379e-02 6.689944447808085504e-03
7.894553389867087212e-02 -1.921330813539852411e-02 6.635519626754599054e-03
8.042205247710107474e-02 -1.806898886072572097e-02 8.320672251827337940e-03
8.014207735534592536e-02 -1.974619029583510321e-02 8.256357852220591598e-03
7.963930578446909436e-02 -1.854230350490525259e-02 6.883267017709429614e-03
7.909880632473084705e-02 -1.874112589891929748e-02 7.295064409437584940e-03
7.947655060753047729e-02 -1.859357095981231667e-02 7.225069247669343997e-03
8.062728917781791793e-02 -1.925227254532771437e-02 7.123592354534080684e-03
8.006772681582163820e-02 -1.922618995875476078e-02 8.296597960491230994e-03
7.990197591181277814e-02 -1.861371776358700103e-02 8.470766147120833978e-03
7.946481871656538298e-02 -2.046820640867287600e-02 6.446123985316826177e-03
7.958720956214779263e-02 -2.051792172896835242e-02 6.153623820669085198e-03
7.924101116354934082e-02 -2.031393181073208598e-02 7.257133848995261927e-03
8.038673654032382765e-02 -2.017832738775550416e-02 6.217823650277815029e-03
7.989128636068729139e-02 -1.992587412562776827e-02 6.407338314085048170e-03
7.931383345487524883e-02 -1.806970683710787395e-02 8.244299738762617125e-03
7.994591103626499939e-02 -1.871137769426853281e-02 7.003048871381187257e-03
7.985927969658221381e-02 -1.881575354628599317e-02 7.562422368912274928e-03
7.941923261606428919e-02 -2.021853948774662846e-02 6.282165964597144492e-03
8.013616091306630107e-02 -1.963777639148973908e-02 7.940584128380764883e-03
7.918854602493149986e-02 -2.002553946819204955e-02 7.295273525588757968e-03
7.995828042727748386e-02 -1.822598655798378375e-02 8.312334956350003745e-03
7.901915783363944179e-02 -2.002520491046359818e-02 6.295882439359884453e-03
7.930187003237734733e-02 -1.974163188570425553e-02 6.557878965457314413e-03
7.946481871656538298e-02 -2.046820640867287600e-02 6.446123985316826177e-03
7.967841135067452174e-02 -1.960790603455787873e-02 7.017079894640246285e-03
8.016084125626085632e-02 -1.693126669513141114e-02 7.023670534006626331e-03
8.044559136755544126e-02 -1.911105693650741455e-02 6.714596311313839050e-03
7.818204201802222975e-02 -2.028919773763475376e-02 6.770311036220055811e-03
7.702300093777600387e-02 -2.023322394507069688e-02 6.384758218332287072e-03
7.884240280107401855e-02 -1.785287403949503693e-02 9.534859090768940670e-03
