k1 k2 k3
6.475871638360614080e-02 -8.586337831690077360e-03 2.224325095436505140e-03
6.305299648390472189e-02 -7.251374984492478526e-03 3.247760956631928764e-03
6.407182780050046933e-02 -6.793936961213803416e-03 1.498555176311949788e-03
6.543744913806934238e-02 -5.832246957946735089e-03 2.224762370313923543e-03
6.434719788272000307e-02 -7.412713946573584733e-03 2.213558825646180783e-03
6.417452124385383816e-02 -8.051340469596129923e-03 3.075701308036360437e-03
6.424896187005121884e-02 -9.062506891065358339e-03 1.646910688169439529e-03
6.508137443597525329e-02 -9.388805743390002401e-03 2.241316695322279062e-03
6.312108084135698016e-02 -7.763345549417752234e-03 2.369949328276610423e-03
6.426594173629415763e-02 -6.909533487653066186e-03 1.790642995454533315e-03
6.405460886865488312e-02 -7.748607541250146502e-03 2.642816729747754501e-03
6.245431089376715650e-02 -8.233510893654913398e-03 1.001660262273385005e-04
6.448476825041385418e-02 -8.243049586595954659e-03 1.357690331785857407e-03
6.455960873706606540e-02 -8.973921697730105618e-03 1.130698983031974691e-03
6.437553951067345737e-02 -7.196658804536751330e-03 2.465821916850366446e-03
6.410258947916588901e-02 -6.692937564592563171e-03 3.426050701568941759e-03
6.313687203300408224e-02 -7.884164401189636129e-03 2.290612909752826054e-03
6.378190892973450987e-02 -8.408309409801043022e-03 4.507040933244832459e-04
6.310160985935697742e-02 -7.240237270605312525e-03 2.815516735640538615e-03
6.432259336304266273e-02 -7.546151601954514954e-03 3.558510456727143056e-03
6.392522957050056354e-02 -8.200059053139724385e-03 3.202286882305394045e-03
6.305681922347186608e-02 -7.955288768547480460e-03 1.143452710075029688e-03
6.463486560119080515e-02 -6.301519522500104165e-03 2.511612998810572317e-03
6.431390147116783362e-02 -9.069348291106352211e-03 2.980069784486685802e-03
6.149062770652172216e-02 -8.681655534256468854e-03 9.857955526558492831e-04
6.258583307190643263e-02 -8.329292145621655652e-03 2.590313738607449845e-03
6.273528823247254138e-02 -6.968275783738639428e-03 2.875351613003923612e-03
6.283658705765801655e-02 -1.002926559875268187e-02 2.647806958838705427e-04
6.389968673651566511e-02 -6.897253990370569299e-03 2.807111286406954731e-03
6.400819892555273394e-02 -8.579743657604027574e-03 1.640659979336905883e-03
6.379942421230425098e-02 -6.815602227790346079e-03 2.066725772672556305e-03
6.259612608461459504e-02 -8.128397705082696101e-03 3.019425181387980217e-03
6.314098549951549511e-02 -9.633341627410293984e-03 1.611912400445447702e-04
6.467016654394372455e-02 -8.593914049624090667e-03 3.455573714221088499e-03
6.319221893777257626e-02 -7.689199867755444617e-03 2.742811075399712029e-03
6.367515019873362658e-02 -8.485016783578658295e-03 9.012820295394019521e-04
6.398134843863576005e-02 -6.486373290976357731e-03 2.609061412723434614e-03
6.311184155658555728e-02 -6.629915726350812943e-03 1.419969803737569647e-03
6.266665648682642753e-02 -7.823211052454898118e-03 1.011909416249331950e-03
6.426852164514360033e-02 -7.977805693835868239e-03 2.495646568373754981e-03
6.282728904013532012e-02 -9.926620675021896600e-03 1.540267518745433439e-03
6.372749200041763484e-02 -8.672109162720001430e-03 -2.799526604927021767e-04
6.407182780050046933e-02 -6.793936961213803416e-03 1.498555176311949788e-03
6.487364267197812118e-02 -8.116793853222351030e-03 4.379271410930030139e-04
6.476715062004187451e-02 -8.092564971698357201e-03 5.262487618261368905e-04
6.293227386889660435e-02 -9.590366074508319127e-03 1.291654236088152219e-03
6.275100862403076851e-02 -8.515474258700278520e-03 2.097423258847208594e-03
6.396620394826355027e-02 -7.375452910815746832e-03 5.447752234822578199e-04
6.399544178745783518e-02 -7.808926411899244635e-03 1.849699640214280683e-03
6.347448583101911179e-02 -8.116163417707586425e-03 2.135286753066997778e-03
6.294386897225606736e-02 -8.980653204758812236e-03 5.962900313696561927e-04
6.356969504123230474e-02 -7.442734319518862218e-03 2.193332077880499886e-03
6.263506495969092813e-02 -9.509807261257413602e-03 1.287773234072780992e-03
6.281000494978802862e-02 -8.920488003259313681e-03 7.645231532392021689e-04
6.395633935924646685e-02 -7.836573638727056812e-03 4.491782403035493587e-04
6.368583139046912756e-02 -7.862976791084858030e-03 2.189639820376204637e-03
6.336795027616548559e-02 -7.567378165285201796e-03 2.543482971744559507e-03
6.315099834257900668e-02 -7.403980995480036187e-03 2.332763506487894878e-03
6.430678406800111047e-02 -8.174688757385889515e-03 1.476731454146673617e-04
6.295900785590644033e-02 -7.134073283504765994e-03 1.578675597625880944e-03
6.386189404500006161e-02 -8.384592414923536241e-03 2.293590186225130667e-03
6.367284321700064642e-02 -7.311143571887113168e-03 2.148829304174745825e-03
6.284515781873040163e-02 -8.644373564778082275e-03 1.742240111266973868e-04
6.401716468311011154e-02 -7.746216289996124549e-03 1.791996579272162049e-03
6.415991510389937313e-02 -6.860437246163864078e-03 1.589657348695386330e-03
6.502083359601770751e-02 -7.934066934762104562e-03 1.883988989265936165e-03
6.281000494978802862e-02 -8.920488003259313681e-03 7.645231532392021689e-04
6.294612508798752559e-02 -9.017537017962706791e-03 1.209395865061524411e-03
6.357155217981205753e-02 -7.293678172230894097e-03 1.865913174283376219e-03
6.369448731072002712e-02 -8.419430819019912970e-03 2.723733232931027648e-03
6.435409808528655407e-02 -7.714457695623649913e-03 1.660499996719508320e-03
6.224975089423420704e-02 -8.022611643961702343e-03 1.827682072444283823e-03
6.364747287924052421e-02 -9.737030636673665862e-03 -3.352298280587528989e-04
6.304869077969185720e-02 -9.223627872947615103e-03 1.504465046632263991e-03
6.328847051985461714e-02 -7.575912565456491277e-03 2.520424856261666013e-03
6.341195519903033984e-02 -7.129520429183813790e-03 2.469635755165677793e-03
6.297153516079587177e-02 -9.078309312592930391e-03 2.255625342530945265e-03
6.394844238690997051e-02 -8.052688712599148646e-03 1.814192770796793641e-03
6.234225819656397105e-02 -8.284123159178050089e-03 3.084717353954546937e-03
